Time,PPG,Acc
6.46,404.78265,0.98832
6.48,397.2835,0.97833
6.5,390.54174,0.98871
6.52,384.43078,0.99326
6.54,380.09503,0.97925
6.56,377.80267,0.99398
6.58,376.09765,0.99504
6.6,374.41516,0.99422
6.62,371.90194,0.98915
6.64,367.63861,0.99461
6.66,362.67846,0.98326
6.68,357.62817,0.99995
6.7,352.453,0.98443
6.72,347.85766,0.99504
6.74,343.20184,0.98399
6.76,338.13165,0.974
6.78,334.539,0.98997
6.8,333.27496,0.99461
6.82,334.04574,0.98399
6.84,336.96856,0.97857
6.86,341.79864,0.98972
6.88,349.96771,0.98997
6.9,363.8497,0.99389
6.92,381.87261,0.9889
6.94,399.77496,0.9904
6.96,413.47348,0.99389
6.98,419.26715,0.99928
7,417.12896,0.9936
7.02,410.52682,0.99021
7.04,401.95458,0.99928
7.06,393.89263,0.99461
7.08,389.20761,0.99504
7.1,388.22821,0.99504
7.12,389.66784,0.98929
7.14,391.34713,0.98958
7.16,390.54205,0.98915
7.18,387.15075,1.00956
7.2,382.73898,0.9936
7.22,377.86431,0.99928
7.24,373.18667,0.97833
7.26,368.77981,0.99461
7.28,363.89144,0.98389
7.3,359.53027,0.9889
7.32,356.80969,0.99422
7.34,355.15484,1.00422
7.36,354.28518,0.99928
7.38,353.87173,0.98871
7.4,354.36035,0.97891
7.42,359.13049,0.98496
7.44,370.48678,0.98871
7.46,386.59088,0.97833
7.48,403.30743,0.99856
7.5,414.84829,0.98929
7.52,417.19891,0.99504
7.54,411.90118,0.99442
7.56,402.78247,0.99504
7.58,393.68676,1.00389
7.6,388.18017,0.99461
7.62,386.15466,0.99398
7.64,385.21725,1.00398
7.66,384.47256,0.99398
7.68,383.11083,0.9839
7.7,380.83953,0.9936
7.72,378.76193,0.99461
7.74,376.39581,1.0036
7.76,372.80822,0.98857
7.78,368.6184,0.98929
7.8,364.07427,0.98443
7.82,360.25628,0.98399
7.84,359.04852,0.99326
7.86,359.49511,0.9889
7.88,359.64642,0.9889
7.9,358.93273,0.98307
7.92,357.72854,0.99442
7.94,359.5885,0.98929
7.96,368.90533,0.99442
7.98,385.2044,0.9936
8,404.51019,0.99832
8.02,421.70471,0.99856
8.04,431.78955,1.00398
8.06,433.94345,0.99307
8.08,430.96029,0.9936
8.1,425.56134,0.99389
8.12,420.13104,0.9889
8.14,415.51385,0.9904
8.16,410.9154,0.97891
8.18,406.90634,0.9936
8.2,404.38131,0.9889
8.22,402.77984,0.98399
8.24,401.28866,0.99326
8.26,398.07604,0.99307
8.28,391.31622,0.9904
8.3,382.13146,0.99928
8.32,372.53836,0.99871
8.34,364.10086,0.99928
8.36,358.79595,0.98857
8.38,356.2633,0.99461
8.4,354.09777,0.98871
8.42,351.27322,0.9836
8.44,347.64404,0.99957
8.46,345.05993,0.99461
8.48,348.18008,0.98857
8.5,359.25585,0.9889
8.52,376.40258,0.9936
8.54,395.89254,0.98929
8.56,412.14147,0.974
8.58,421.12829,0.98857
8.6,423.81866,0.99422
8.62,422.52377,0.98915
8.64,418.62677,0.99326
8.66,413.29321,0.9836
8.68,406.80493,0.98929
8.7,400.25897,0.98929
8.72,395.84542,0.99398
8.74,393.63092,0.99461
8.76,392.53558,0.99274
8.78,391.57006,0.9936
8.8,388.58679,0.98443
8.82,383.1419,1.00422
8.84,377.41656,0.99928
8.86,372.56976,0.97916
8.88,368.82861,0.98423
8.9,365.7196,1.00422
8.92,361.37518,0.9889
8.94,355.73303,0.98871
8.96,350.61331,0.98423
8.98,347.02093,0.98929
9,346.01135,1.00346
9.02,347.98126,0.99422
9.04,352.37414,0.98871
9.06,360.67916,0.99799
9.08,374.35369,0.99871
9.1,391.60482,0.98929
9.12,409.21667,0.98871
9.14,422.99816,0.9989
9.16,429.12225,0.99326
9.18,427.85614,0.99832
9.2,421.76763,0.99346
9.22,413.359,0.99461
9.24,405.70733,0.99398
9.26,399.74829,0.99504
9.28,394.03271,0.98929
9.3,388.21096,0.99398
9.32,382.00173,1.00441
9.34,375.31713,0.98423
9.36,370.00061,0.99422
9.38,366.35394,0.99461
9.4,362.63021,0.99389
9.42,358.15194,0.98915
9.44,352.48843,0.99442
9.46,346.23474,0.99924
9.48,341.7442,0.98389
9.5,339.32183,0.99971
9.52,337.77133,1.0036
9.54,336.97039,0.9793
9.56,336.46594,0.98958
9.58,336.60363,0.99461
9.6,338.99938,0.9889
9.62,343.70959,0.99504
9.64,351.04214,0.99971
9.66,362.48889,0.98871
9.68,377.26202,0.98871
9.7,393.23034,0.99346
9.72,408.21362,1.0046
9.74,418.81665,0.98832
9.76,423.06158,0.99832
9.78,421.34527,0.98915
9.8,414.66674,0.98857
9.82,406.05929,0.99971
9.84,399.21514,0.99326
9.86,395.00823,0.98871
9.88,392.61959,0.9836
9.9,390.28979,1.00441
9.92,385.98147,0.99326
9.94,380.14898,1.00389
9.96,374.23031,0.99461
9.98,368.45138,0.99442
10,363.11804,0.9836
10.02,357.79913,0.99398
10.04,351.6463,0.99461
10.06,346.05044,0.98924
10.08,342.64849,0.99075
10.1,341.48248,0.98832
10.12,341.99096,0.98307
10.14,341.81231,0.99504
10.16,338.62506,0.98832
10.18,333.64971,0.99326
10.2,329.21572,0.99422
10.22,327.8208,0.98443
10.24,332.96261,0.98799
10.26,344.98178,0.99398
10.28,360.81042,0.99442
10.3,377.59921,0.98871
10.32,391.99749,0.98443
10.34,401.53686,0.99504
10.36,406.57589,0.99433
10.38,407.12283,0.97916
10.4,403.08123,0.99422
10.42,396.29345,0.98399
10.44,388.58154,0.99533
10.46,382.18252,0.98857
10.48,379.62905,0.99461
10.5,380.23498,0.99461
10.52,381.45245,0.99326
10.54,381.22552,0.98924
10.56,377.81259,0.98997
10.58,372.47021,0.99461
10.6,368.32977,0.98443
10.62,365.41146,0.98929
10.64,362.29846,0.99326
10.66,358.55627,0.98958
10.68,354.05773,0.99461
10.7,350.3142,0.9836
10.72,348.86773,1.00422
10.74,348.59924,0.9889
10.76,348.06823,0.99914
10.78,346.93869,0.99461
10.8,346.61917,0.98929
10.82,351.37438,0.98958
10.84,363.80874,0.99971
10.86,381.18084,0.99871
10.88,398.35974,0.98399
10.9,410.23156,0.974
10.92,413.79882,0.98958
10.94,410.42602,0.99856
10.96,403.0516,0.98399
10.98,394.06307,0.99957
11,386.05789,0.99832
11.02,379.79379,0.99928
11.04,374.51202,0.99274
11.06,370.69812,0.99971
11.08,368.41671,0.9889
11.1,366.85302,0.98346
11.12,365.50976,0.99832
11.14,362.68853,0.99957
11.16,357.46313,0.9889
11.18,351.7431,0.98929
11.2,346.93124,0.98423
11.22,343.55685,0.99461
11.24,342.06216,0.98799
11.26,340.59863,0.98799
11.28,337.60345,0.98929
11.3,334.35998,0.98924
11.32,332.16122,0.99928
11.34,332.86499,0.9836
11.36,339.4746,0.9889
11.38,352.59191,0.9836
11.4,370.77886,0.99928
11.42,391.20452,0.98929
11.44,408.70202,1.00038
11.46,420.08505,0.99389
11.48,425.87338,1.00398
11.5,426.70663,0.9889
11.52,423.53399,0.99307
11.54,417.591,0.99461
11.56,409.24661,0.99398
11.58,400.46969,0.99504
11.6,393.93774,0.99928
11.62,390.12805,0.98997
11.64,388.57379,0.98972
11.66,387.6397,0.99422
11.68,384.75189,0.99461
11.7,379.93035,0.99928
11.72,374.88952,0.98857
11.74,370.50543,0.98929
11.76,367.17623,0.98399
11.78,363.76181,0.99422
11.8,358.647,0.99422
11.82,352.75469,0.99461
11.84,347.62817,0.99957
11.86,344.0285,0.98924
11.88,342.61602,0.98857
11.9,342.04461,0.98972
11.92,341.16333,0.99442
11.94,342.9219,0.99398
11.96,350.81277,0.97891
11.98,365.69149,0.97891
12,385.64843,0.99326
12.02,404.50659,0.99461
12.04,415.94223,0.98871
12.06,419.17654,0.99461
12.08,416.79437,0.99461
